,total_bitcoins
2046-09-16,20924687.811216634
2046-09-23,20924786.069045175
2046-09-30,20924884.326873716
2046-10-07,20924982.584702257
2046-10-14,20925080.8425308
2046-10-21,20925179.100359343
2046-10-28,20925277.358187884
2046-11-04,20925375.616016425
2046-11-11,20925473.87384497
2046-11-18,20925572.13167351
2046-11-25,20925670.389502052
2046-12-02,20925768.647330593
2046-12-09,20925866.90515914
2046-12-16,20925965.16298768
2046-12-23,20926063.42081622
2046-12-30,20926161.678644765
2047-01-06,20926259.936473306
2047-01-13,20926358.194301847
2047-01-20,20926456.45213039
2047-01-27,20926554.709958933
2047-02-03,20926652.967787474
2047-02-10,20926751.225616015
2047-02-17,20926849.48344456
2047-02-24,20926947.7412731
2047-03-03,20927045.999101643
2047-03-10,20927144.256930184
2047-03-17,20927242.51475873
2047-03-24,20927340.77258727
2047-03-31,20927439.03041581
2047-04-07,20927537.288244355
2047-04-14,20927635.546072897
2047-04-21,20927733.803901438
2047-04-28,20927832.06172998
2047-05-05,20927930.319558524
2047-05-12,20928028.577387065
2047-05-19,20928126.835215606
2047-05-26,20928225.09304415
2047-06-02,20928323.35087269
2047-06-09,20928421.608701233
2047-06-16,20928519.866529774
2047-06-23,20928618.12435832
2047-06-30,20928716.38218686
2047-07-07,20928814.6400154
2047-07-14,20928912.897843946
2047-07-21,20929011.155672487
2047-07-28,20929109.413501028
2047-08-04,20929207.67132957
2047-08-11,20929305.92915811
2047-08-18,20929404.186986655
2047-08-25,20929502.444815196
2047-09-01,20929600.702643733
2047-09-08,20929698.96047228
2047-09-15,20929797.218300823
2047-09-22,20929895.476129364
2047-09-29,20929993.733957905
2047-10-06,20930091.991786446
2047-10-13,20930190.249614988
2047-10-20,20930288.50744353
2047-10-27,20930386.765272073
2047-11-03,20930485.023100615
2047-11-10,20930583.280929156
2047-11-17,20930681.5387577
2047-11-24,20930779.79658624
2047-12-01,20930878.054414783
2047-12-08,20930976.312243324
2047-12-15,20931074.57007187
2047-12-22,20931172.82790041
2047-12-29,20931271.08572895
2048-01-05,20931359.31724846
2048-01-12,20931411.45405544
2048-01-19,20931460.582969714
2048-01-26,20931509.711883985
2048-02-02,20931558.840798255
2048-02-09,20931607.969712526
2048-02-16,20931657.098626796
2048-02-23,20931706.227541067
2048-03-01,20931755.356455337
2048-03-08,20931804.48536961
2048-03-15,20931853.614283882
2048-03-22,20931902.743198153
2048-03-29,20931951.872112423
2048-04-05,20932001.001026694
2048-04-12,20932050.129940964
2048-04-19,20932099.258855235
2048-04-26,20932148.38776951
2048-05-03,20932197.51668378
2048-05-10,20932246.64559805
2048-05-17,20932295.77451232
2048-05-24,20932344.90342659
