Date,total_bitcoins
2018-03-11,16917685.05586592
2018-03-18,16930516.759776536
2018-03-25,16943348.46368715
2018-04-01,16956180.167597767
2018-04-08,16969011.87150838
2018-04-15,16981843.575418998
2018-04-22,16994675.27932961
2018-04-29,17007506.983240224
2018-05-06,17020338.68715084
2018-05-13,17033170.39106145
2018-05-20,17046002.094972067
2018-05-27,17058833.798882682
2018-06-03,17071665.502793293
2018-06-10,17084497.20670391
2018-06-17,17097328.910614524
2018-06-24,17110160.61452514
2018-07-01,17122992.318435755
2018-07-08,17135824.02234637
2018-07-15,17148655.726256985
2018-07-22,17161487.430167597
2018-07-29,17174319.134078212
2018-08-05,17187150.837988827
2018-08-12,17199982.541899443
2018-08-19,17212814.245810054
2018-08-26,17225645.94972067
2018-09-02,17238477.653631285
2018-09-09,17251309.3575419
2018-09-16,17264141.061452515
2018-09-23,17276972.765363127
2018-09-30,17289804.469273742
2018-10-07,17302636.173184358
2018-10-14,17315467.877094973
2018-10-21,17328299.581005584
2018-10-28,17341131.2849162
2018-11-04,17353962.988826815
2018-11-11,17366794.69273743
2018-11-18,17379626.396648046
2018-11-25,17392458.10055866
2018-12-02,17405289.804469276
2018-12-09,17418121.508379888
2018-12-16,17430953.212290503
2018-12-23,17443784.91620112
2018-12-30,17456616.62011173
2019-01-06,17469448.324022345
2019-01-13,17482280.02793296
2019-01-20,17495111.731843572
2019-01-27,17507943.43575419
2019-02-03,17520775.139664803
2019-02-10,17533606.843575418
2019-02-17,17546438.547486033
2019-02-24,17559270.25139665
2019-03-03,17572101.955307264
2019-03-10,17584933.659217875
2019-03-17,17597765.36312849
2019-03-24,17610597.067039106
2019-03-31,17623428.77094972
2019-04-07,17636260.474860337
2019-04-14,17649092.17877095
2019-04-21,17661923.882681567
2019-04-28,17674755.58659218
2019-05-05,17687587.290502794
2019-05-12,17700418.99441341
2019-05-19,17713250.69832402
2019-05-26,17726082.402234636
2019-06-02,17738914.10614525
2019-06-09,17751745.810055863
2019-06-16,17764577.51396648
2019-06-23,17777409.217877094
2019-06-30,17790240.92178771
2019-07-07,17803072.625698324
2019-07-14,17815904.32960894
2019-07-21,17828736.033519555
2019-07-28,17841567.737430166
2019-08-04,17854399.44134078
2019-08-11,17867231.145251397
2019-08-18,17880062.849162012
2019-08-25,17892894.553072624
2019-09-01,17905726.25698324
2019-09-08,17918557.960893854
2019-09-15,17931389.66480447
2019-09-22,17944221.368715085
2019-09-29,17957053.0726257
2019-10-06,17969884.776536312
2019-10-13,17982716.480446927
2019-10-20,17995548.184357543
2019-10-27,18008379.888268154
2019-11-03,18021211.59217877
2019-11-10,18034043.296089385
2019-11-17,18046875.0
2019-11-24,18059706.703910615
2019-12-01,18072538.40782123
2019-12-08,18085370.111731846
2019-12-15,18098201.815642457
2019-12-22,18111033.519553073
2019-12-29,18123865.223463688
2020-01-05,18136696.9273743
2020-01-12,18149528.631284915
2020-01-19,18162360.33519553
2020-01-26,18175192.03910614
2020-02-02,18188023.74301676
2020-02-09,18200855.446927376
2020-02-16,18213687.150837988
2020-02-23,18226518.854748603
2020-03-01,18239350.55865922
2020-03-08,18252182.262569834
2020-03-15,18265013.966480445
2020-03-22,18277845.67039106
2020-03-29,18290677.374301676
2020-04-05,18303509.07821229
2020-04-12,18316340.782122906
2020-04-19,18329172.486033518
2020-04-26,18342004.189944137
2020-05-03,18354835.89385475
2020-05-10,18367667.597765364
2020-05-17,18377734.375
2020-05-24,18384114.583333332
2020-05-31,18390494.791666668
2020-06-07,18396875.0
2020-06-14,18403255.208333332
2020-06-21,18409635.416666668
2020-06-28,18416015.625
2020-07-05,18422395.833333332
2020-07-12,18428776.041666668
2020-07-19,18435156.25
2020-07-26,18441536.458333332
2020-08-02,18447916.666666668
2020-08-09,18454296.875
2020-08-16,18460677.083333332
2020-08-23,18467057.291666668
2020-08-30,18473437.5
2020-09-06,18479817.708333332
2020-09-13,18486197.916666668
2020-09-20,18492578.125
2020-09-27,18498958.333333332
2020-10-04,18505338.541666668
2020-10-11,18511718.75
2020-10-18,18518098.958333332
2020-10-25,18524479.166666668
2020-11-01,18530859.375
2020-11-08,18537239.583333332
2020-11-15,18543619.791666668
2020-11-22,18550000.0
2020-11-29,18556380.208333332
2020-12-06,18562760.416666668
2020-12-13,18569140.625
2020-12-20,18575520.833333332
2020-12-27,18581901.041666668
2021-01-03,18588281.25
2021-01-10,18594661.458333332
2021-01-17,18601041.666666668
2021-01-24,18607421.875
2021-01-31,18613802.083333332
2021-02-07,18620182.291666668
2021-02-14,18626562.5
2021-02-21,18632942.708333332
2021-02-28,18639322.916666668
2021-03-07,18645703.125
2021-03-14,18652083.333333332
2021-03-21,18658463.541666668
2021-03-28,18664843.75
2021-04-04,18671223.958333332
2021-04-11,18677604.166666668
2021-04-18,18683984.375
2021-04-25,18690364.583333332
2021-05-02,18696744.791666668
2021-05-09,18703125.0
2021-05-16,18709505.208333332
2021-05-23,18715885.416666668
2021-05-30,18722265.625
2021-06-06,18728645.833333332
2021-06-13,18735026.041666668
2021-06-20,18741406.25
2021-06-27,18747786.458333332
2021-07-04,18754166.666666668
2021-07-11,18760546.875
2021-07-18,18766927.083333332
2021-07-25,18773307.291666668
2021-08-01,18779687.5
2021-08-08,18786067.708333332
2021-08-15,18792447.916666668
2021-08-22,18798828.125
2021-08-29,18805208.333333332
2021-09-05,18811588.541666668
2021-09-12,18817968.75
2021-09-19,18824348.958333332
2021-09-26,18830729.166666668
2021-10-03,18837109.375
2021-10-10,18843489.583333332
2021-10-17,18849869.791666668
2021-10-24,18856250.0
2021-10-31,18862630.208333332
2021-11-07,18869010.416666668
2021-11-14,18875390.625
2021-11-21,18881770.833333332
2021-11-28,18888151.041666668
2021-12-05,18894531.25
2021-12-12,18900911.458333332
2021-12-19,18907291.666666668
2021-12-26,18913671.875
2022-01-02,18920052.083333332
2022-01-09,18926432.291666668
2022-01-16,18932812.5
2022-01-23,18939192.708333332
2022-01-30,18945572.916666668
2022-02-06,18951953.125
2022-02-13,18958333.333333332
2022-02-20,18964713.541666668
2022-02-27,18971093.75
2022-03-06,18977473.958333332
2022-03-13,18983854.166666668
2022-03-20,18990234.375
2022-03-27,18996614.583333332
2022-04-03,19002994.791666668
2022-04-10,19009375.0
2022-04-17,19015755.208333332
2022-04-24,19022135.416666668
2022-05-01,19028515.625
2022-05-08,19034895.833333332
2022-05-15,19041276.041666668
2022-05-22,19047656.25
2022-05-29,19054036.458333332
